baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lrrc15	222.272106139179	-3.28427111658109	0.523109514201927	-6.27836242204786	0.000000000342157600025777	0.0000000283583477545173
Lpar6	34.3101334642859	-3.28414389743139	1.05548236123318	-3.11150997691174	0.0018613318425993	0.0214014736386067
Efcab10	88.6916916516961	-3.28330811767693	0.821698067805698	-3.99575981290163	0.0000644870898947577	0.00137234730191778
Slit2	71.1235293220634	-3.2685654464791	1.01529348368492	-3.21933066547038	0.00128490224388931	0.0159172409643369
Tbx4	66.3971923405661	-3.26591167161971	0.846866591598241	-3.85646535596137	0.00011503839309974	0.00228175866883302
Scn3a	54.8813512177822	-3.25085361195621	0.984524966819756	-3.30195141973618	0.000960146979285293	0.0126721199427189
Slco2b1	33.180074156638	-3.23295363699356	0.995853373992917	-3.24641530713592	0.00116868214984237	0.0146733365684446
Fgf4	751.584051263043	-3.19251740763995	0.358595245739157	-8.90284365332104	0.000000000000000000544338276297397	0.000000000000000180461099027737
Csrnp3	126.171121625389	-3.15130564907115	0.649647322933418	-4.85079448159926	0.00000122967912722983	0.0000444728627728523
Car8	447.224829760721	-3.10587321333407	0.650985472715168	-4.7710330621971	0.00000183283449533144	0.0000619426881383373
Mep1b	1259.96554251711	-3.10352694061684	0.284737527763032	-10.8996062619455	0.0000000000000000000000000011575711102442	0.00000000000000000000000107453467593601
Dync2li1	78.828070182576	-3.08264618332986	1.07468089791711	-2.86842930706639	0.00412515372697767	0.0398326217021061
Gabbr1	506.92759081414	-3.07243155616243	0.36703166994695	-8.37102573902278	0.0000000000000000571188305806512	0.000000000000015294665327019
Pou2f3	374.369015872232	-3.06395424208677	0.484642035835012	-6.32209758034659	0.000000000258036339561703	0.0000000219079145857144
Bmp4	428.779621057963	-3.06122397160801	0.444919855444468	-6.88039415222299	0.00000000000596871814291053	0.000000000670229285660373
Sox17	124.841766403674	-3.01292661591766	0.81406342105376	-3.70109568615378	0.000214670499726052	0.00385686714604587
Gata4	332.259292491703	-3.00760483431992	0.48637560940872	-6.183708179726	0.000000000626130674897049	0.0000000481670912556161
Ceacam2	90.1591893097794	-2.98950940857512	0.848743159574463	-3.5222780588582	0.0004278551244145	0.00669376938466012
Tdgf1	7873.48187020819	-2.96633990457572	0.151073200711068	-19.6351165568336	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000775027827343071	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000107914874679249
Slc9a5	199.989008016476	-2.96501520744539	0.742619024232241	-3.99264644547826	0.0000653399545274499	0.00138476944724538
Cyp2b23	341.844646413332	-2.95551360853542	0.439145747948447	-6.73014283376913	0.0000000000169496618021765	0.000000001722679495865
Il13ra1	81.0820590320452	-2.95411685366129	0.971427044163287	-3.04100742450066	0.00235788016539118	0.0257297205508674
Gstm7	244.768655449763	-2.95045640300308	0.597566852659525	-4.93744991020136	0.000000791507268908121	0.0000298670656159259
Lrrc16b	69.7268421457063	-2.92256826821627	1.0391839894798	-2.81236845236546	0.00491781345583105	0.045348102356948
